"","stim_sex","picID","correct","emotion","race","stimNum","rt","response","partno","sub_sex","acc"
"2","Female","AngryFemaleWhite","2","Angry","White","6","2687","2",1,0,1
"3","Male","DisgustMaleWhite6","5","Disgust","White","17","2318","5",1,0,1
"4","Female","DisgustFemaleWhite3","5","Disgust","White","29","2736","1",1,0,0
"5","Male","FearMaleWhite2","1","Fear","White","32","2687","1",1,0,1
"6","Male","DisgustMaleWhite5","5","Disgust","White","16","3550","5",1,0,1
"7","Male","HappyMaleWhite3","3","Happy","White","10","1611","3",1,0,1
"8","Female","HappyFemaleWhite3","3","Happy","White","28","1264","3",1,0,1
"9","Male","FearMaleWhite","1","Fear","White","14","5059","6",1,0,0
"10","Male","AngryMaleWhite","2","Angry","White","3","2420","2",1,0,1
"11","Male","NeutralMaleWhite3","7","Neutral","White","34","1128","7",1,0,1
"12","Female","NeutralFemaleWhite2","7","Neutral","White","19","936","7",1,0,1
"13","Female","NeutralFemaleWhite3","7","Neutral","White","20","3617","7",1,0,1
"14","Female","NeutralFemaleWhite","7","Neutral","White","18","1545","7",1,0,1
"15","Female","DisgustFemaleWhite2","5","Disgust","White","26","1286","5",1,0,1
"16","Male","SurpriseMaleWhite","6","Surprise","White","21","1436","6",1,0,1
"17","Female","HappyFemaleWhite2","3","Happy","white","8","1578","3",1,0,1
"18","Male","AngryMaleWhite2","2","Angry","White","31","1361","2",1,0,1
"19","Male","NeutralMaleWhite","7","Neutral","White","30","1152","7",1,0,1
"20","Female","SadFemaleWhite2","4","Sad","White","4","2554","4",1,0,1
"21","Female","SadFemaleWhite","4","Sad","White","2","1277","4",1,0,1
"22","Female","HappyFemaleWhite","3","Happy","White","7","1418","3",1,0,1
"23","Female","FearFemaleWhite2","1","Fear","White","23","1427","6",1,0,0
"24","Male","DisgustMaleWhite3","5","Disgust","White","15","4448","5",1,0,1
"25","Female","DisgustFemaleWhite","5","Disgust","White","25","1177","3",1,0,0
"26","Female","AngryFemaleWhite2","2","Angry","White","24","1588","2",1,0,1
"27","Female","SurpriseFemaleWhite2","6","Surprise","White","27","3010","6",1,0,1
"28","Male","SadMaleWhite","4","Sad","White","11","1177","4",1,0,1
"29","Female","SurpriseFemaleWhite","6","Surprise","White","5","631","7",1,0,0
"30","Female","FearFemaleWhite","1","Fear","White","13","1160","4",1,0,0
"31","Male","SadMaleWhite2","4","Sad","White","12","83","3",1,0,0
"32","Male","HappyMaleWhite2","3","Happy","White","9","849","6",1,0,0
"33","Male","HappyMaleWhite","3","Happy","White","1","2938","7",1,0,0
"34","Male","SurpriseMaleWhite2","6","Surprise","White","22","2622","3",1,0,0
"35","Male","NeutralMaleWhite2","7","Neutral","White","33","872","2",1,0,0
"271","Male","DisgustMaleWhite3","5","Disgust","White","15","6501","5",10,0,1
"281","Male","DisgustMaleWhite6","5","Disgust","White","17","2179","3",10,0,0
"291","Female","NeutralFemaleWhite3","7","Neutral","White","20","5340","7",10,0,1
"301","Female","SadFemaleWhite2","4","Sad","White","4","3161","4",10,0,1
"311","Female","AngryFemaleWhite2","2","Angry","White","24","2608","4",10,0,0
"321","Female","SurpriseFemaleWhite","6","Surprise","White","5","4265","7",10,0,0
"331","Female","NeutralFemaleWhite","7","Neutral","White","18","4131","4",10,0,0
"341","Female","NeutralFemaleWhite2","7","Neutral","White","19","5065","6",10,0,0
"351","Male","AngryMaleWhite","2","Angry","White","3","2937","2",10,0,1
"36","Female","AngryFemaleWhite","2","Angry","White","6","1837","5",10,0,0
"37","Female","SurpriseFemaleWhite2","6","Surprise","White","27","2546","6",10,0,1
"38","Male","SadMaleWhite","4","Sad","White","11","2999","4",10,0,1
"39","Female","FearFemaleWhite","1","Fear","White","13","1173","1",10,0,1
"40","Female","DisgustFemaleWhite3","5","Disgust","White","29","4314","5",10,0,1
"41","Female","HappyFemaleWhite3","3","Happy","White","28","2092","3",10,0,1
"42","Male","HappyMaleWhite2","3","Happy","White","9","1477","7",10,0,0
"43","Male","AngryMaleWhite2","2","Angry","White","31","1732","2",10,0,1
"44","Male","HappyMaleWhite","3","Happy","White","1","1981","3",10,0,1
"45","Male","HappyMaleWhite3","3","Happy","White","10","2484","5",10,0,0
"46","Male","FearMaleWhite2","1","Fear","White","32","1216","1",10,0,1
"47","Female","HappyFemaleWhite","3","Happy","White","7","1277","3",10,0,1
"48","Male","DisgustMaleWhite5","5","Disgust","White","16","1494","5",10,0,1
"49","Male","FearMaleWhite","1","Fear","White","14","4435","6",10,0,0
"50","Female","SadFemaleWhite","4","Sad","White","2","1141","7",10,0,0
"51","Female","HappyFemaleWhite2","3","Happy","white","8","1378","3",10,0,1
"52","Male","SurpriseMaleWhite","6","Surprise","White","21","1398","1",10,0,0
"53","Male","NeutralMaleWhite","7","Neutral","White","30","1586","2",10,0,0
"54","Male","NeutralMaleWhite2","7","Neutral","White","33","1636","2",10,0,0
"55","Male","SurpriseMaleWhite2","6","Surprise","White","22","1800","6",10,0,1
"56","Male","NeutralMaleWhite3","7","Neutral","White","34","2643","4",10,0,0
"57","Male","SadMaleWhite2","4","Sad","White","12","7227","7",10,0,0
"58","Female","DisgustFemaleWhite2","5","Disgust","White","26","1609","5",10,0,1
"59","Female","DisgustFemaleWhite","5","Disgust","White","25","1477","5",10,0,1
"60","Female","FearFemaleWhite2","1","Fear","White","23","1310","1",10,0,1
"272","Female","SadFemaleWhite","4","Sad","White","2","3117","4",100,0,1
"282","Female","FearFemaleWhite","1","Fear","White","13","2621","5",100,0,0
"292","Female","FearFemaleWhite2","1","Fear","White","23","4844","7",100,0,0
"302","Female","NeutralFemaleWhite3","7","Neutral","White","20","3907","7",100,0,1
"312","Male","HappyMaleWhite2","3","Happy","White","9","2403","3",100,0,1
"322","Male","NeutralMaleWhite","7","Neutral","White","30","1264","7",100,0,1
"332","Female","DisgustFemaleWhite3","5","Disgust","White","29","2203","5",100,0,1
"342","Female","HappyFemaleWhite","3","Happy","White","7","1811","3",100,0,1
"352","Female","HappyFemaleWhite2","3","Happy","white","8","3757","3",100,0,1
"361","Male","HappyMaleWhite3","3","Happy","White","10","1492","3",100,0,1
"371","Female","AngryFemaleWhite2","2","Angry","White","24","1808","4",100,0,0
"381","Female","AngryFemaleWhite","2","Angry","White","6","2026","2",100,0,1
"391","Male","NeutralMaleWhite3","7","Neutral","White","34","1772","7",100,0,1
"401","Male","NeutralMaleWhite2","7","Neutral","White","33","1532","7",100,0,1
"411","Male","AngryMaleWhite","2","Angry","White","3","2770","2",100,0,1
"421","Female","DisgustFemaleWhite","5","Disgust","White","25","1546","5",100,0,1
"431","Female","SurpriseFemaleWhite","6","Surprise","White","5","3232","6",100,0,1
"441","Female","SadFemaleWhite2","4","Sad","White","4","2392","4",100,0,1
"451","Female","NeutralFemaleWhite","7","Neutral","White","18","1227","4",100,0,0
"461","Male","DisgustMaleWhite3","5","Disgust","White","15","1833","5",100,0,1
"471","Female","DisgustFemaleWhite2","5","Disgust","White","26","1597","5",100,0,1
"481","Male","DisgustMaleWhite6","5","Disgust","White","17","2075","5",100,0,1
"491","Male","SurpriseMaleWhite","6","Surprise","White","21","1645","6",100,0,1
"501","Female","HappyFemaleWhite3","3","Happy","White","28","1890","3",100,0,1
"511","Male","FearMaleWhite2","1","Fear","White","32","2042","1",100,0,1
"521","Female","NeutralFemaleWhite2","7","Neutral","White","19","1658","7",100,0,1
"531","Male","SurpriseMaleWhite2","6","Surprise","White","22","1915","6",100,0,1
"541","Male","DisgustMaleWhite5","5","Disgust","White","16","2576","5",100,0,1
"551","Male","HappyMaleWhite","3","Happy","White","1","1553","3",100,0,1
"561","Female","SurpriseFemaleWhite2","6","Surprise","White","27","2373","6",100,0,1
"571","Male","SadMaleWhite","4","Sad","White","11","1836","4",100,0,1
"581","Male","SadMaleWhite2","4","Sad","White","12","1286","4",100,0,1
"591","Male","AngryMaleWhite2","2","Angry","White","31","1577","2",100,0,1
"601","Male","FearMaleWhite","1","Fear","White","14","1227","1",100,0,1
"210","Male","SadMaleWhite2","4","Sad","White","12","12747","4",101,1,1
"310","Female","SadFemaleWhite","4","Sad","White","2","7015","5",101,1,0
"410","Female","NeutralFemaleWhite","7","Neutral","White","18","1570","7",101,1,1
"510","Female","SurpriseFemaleWhite2","6","Surprise","White","27","2595","6",101,1,1
"61","Male","NeutralMaleWhite","7","Neutral","White","30","5643","7",101,1,1
"71","Female","HappyFemaleWhite2","3","Happy","white","8","2687","3",101,1,1
"81","Male","DisgustMaleWhite3","5","Disgust","White","15","1270","2",101,1,0
"91","Female","DisgustFemaleWhite3","5","Disgust","White","29","1475","1",101,1,0
"101","Female","HappyFemaleWhite","3","Happy","White","7","2284","3",101,1,1
"111","Male","HappyMaleWhite","3","Happy","White","1","1950","3",101,1,1
"121","Male","HappyMaleWhite2","3","Happy","White","9","1456","7",101,1,0
"131","Female","DisgustFemaleWhite","5","Disgust","White","25","2161","5",101,1,1
"141","Male","SadMaleWhite","4","Sad","White","11","5948","1",101,1,0
"151","Female","HappyFemaleWhite3","3","Happy","White","28","1702","3",101,1,1
"161","Female","FearFemaleWhite","1","Fear","White","13","2286","1",101,1,1
"171","Male","DisgustMaleWhite5","5","Disgust","White","16","3721","3",101,1,0
"181","Male","NeutralMaleWhite2","7","Neutral","White","33","663","7",101,1,1
"191","Male","AngryMaleWhite","2","Angry","White","3","3721","2",101,1,1
