vid,corr
stims/01HappyMaleWhite.avi,3
stims/02SadFemaleWhite.avi,4
stims/03AngryMaleWhite.avi,2
stims/04SadFemaleWhite.avi,4
stims/05SurpriseFemaleWhite.avi,6
stims/06AngryFemaleWhite.avi,2
stims/07HappyFemaleWhite.avi,3
stims/08HappyFemalewhite.avi,3
stims/09HappyMaleWhite.avi,3
stims/10HappyMaleWhite.avi,3
stims/11SadMaleWhite.avi,4
stims/12SadMaleWhite.avi,4
stims/13FearFemaleWhite.avi,1
stims/14FearMaleWhite.avi,1
stims/15DisgustMaleWhite.avi,5
stims/16DisgustMaleWhite.avi,5
stims/17DisgustMaleWhite.avi,5
stims/18NeutralFemaleWhite.avi,7
stims/19NeutralFemaleWhite.avi,7
stims/20NeutralFemaleWhite.avi,7
stims/21SurpriseMaleWhite.avi,6
stims/22SurpriseMaleWhite.avi,6
stims/23FearFemaleWhite.avi,1
stims/24AngryFemaleWhite.avi,2
stims/25DisgustFemaleWhite.avi,5
stims/26DisgustFemaleWhite.avi,5
stims/27SurpriseFemaleWhite.avi,6
stims/28HappyFemaleWhite.avi,3
stims/29DisgustFemaleWhite.avi,5
stims/30NeutralMaleWhite.avi,7
stims/31AngryMaleWhite.avi,2
stims/32FearMaleWhite.avi,1
stims/33NeutralMaleWhite.avi,7
stims/34NeutralMaleWhite.avi,7
stims/35AngryMaleWhite.avi,2
stims/36AngryMaleWhite.avi,2
